float_num,lon,lat,depth,fluo,chla,t_chla,peri,but,hex,zea,fuco,allo,chlb,date,diff_date,lovbio,dist
6902742,61.7323493333333,-58.4157773333333,11.0690002441406,0.30019998550415,0.2183,0.2243,0.0039,0.0141,0.0552,0.0012,0.0701,0.0045,0.0119,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436
6902742,61.7323493333333,-58.4157773333333,20.0869998931885,0.30019998550415,0.2204,0.2273,0.0043,0.014,0.0571,0.0012,0.0722,0.0044,0.0119,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436
6902742,61.7323493333333,-58.4157773333333,29.9449996948242,0.30019998550415,0.2129,0.2199,0.0047,0.0142,0.0534,9e-4,0.0702,0.0044,0.0103,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436
6902742,61.7323493333333,-58.4157773333333,39.0979995727539,0.30019998550415,0.2202,0.2271,0.0044,0.0141,0.0579,0.001,0.072,0.0044,0.0114,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436
6902742,61.7323493333333,-58.4157773333333,50.0880012512207,0.30019998550415,0.2219,0.2293,0.0048,0.0146,0.0574,0.001,0.0732,0.0045,0.0111,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436
6902742,61.7323493333333,-58.4157773333333,75.0640029907227,0.30019998550415,0.2292,0.2362,0.0041,0.0153,0.0573,0.001,0.0771,0.0044,0.0127,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436
6902742,61.7323493333333,-58.4157773333333,101.998001098633,0.30019998550415,0.2404,0.2404,0.0039,0.0178,0.0573,9e-4,0.0847,0.0046,0.0136,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436
6902742,61.7323493333333,-58.4157773333333,149.057998657227,0.140599995851517,0.1309,0.1309,0,0.0118,0.0242,6e-4,0.0459,0.0028,0.0112,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436
6902742,61.7323493333333,-58.4157773333333,200.031005859375,0.0608000010251999,0.0124,0.0124,0,0.0014,9e-4,0,0.0064,4e-4,0,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436
6902742,61.7323493333333,-58.4157773333333,249.020004272461,0.00760000012814999,0.0043,0.0043,0,0,0,0,0.0021,0,0,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436
6902742,61.7323493333333,-58.4157773333333,499.851989746094,0.00380000006407499,0.003,0.003,0,0,0,0,0.0017,0,0,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436
6902742,61.7323493333333,-58.4157773333333,11.0690002441406,0.30019998550415,0.2183,0.2243,0.0039,0.0141,0.0552,0.0012,0.0701,0.0045,0.0119,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436
6902742,61.7323493333333,-58.4157773333333,20.0869998931885,0.30019998550415,0.2204,0.2273,0.0043,0.014,0.0571,0.0012,0.0722,0.0044,0.0119,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436
6902742,61.7323493333333,-58.4157773333333,29.9449996948242,0.30019998550415,0.2129,0.2199,0.0047,0.0142,0.0534,9e-4,0.0702,0.0044,0.0103,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436
6902742,61.7323493333333,-58.4157773333333,39.0979995727539,0.30019998550415,0.2202,0.2271,0.0044,0.0141,0.0579,0.001,0.072,0.0044,0.0114,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436
6902742,61.7323493333333,-58.4157773333333,50.0880012512207,0.30019998550415,0.2219,0.2293,0.0048,0.0146,0.0574,0.001,0.0732,0.0045,0.0111,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436
6902742,61.7323493333333,-58.4157773333333,75.0640029907227,0.30019998550415,0.2292,0.2362,0.0041,0.0153,0.0573,0.001,0.0771,0.0044,0.0127,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436
6902742,61.7323493333333,-58.4157773333333,101.998001098633,0.30019998550415,0.2404,0.2404,0.0039,0.0178,0.0573,9e-4,0.0847,0.0046,0.0136,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436
6902742,61.7323493333333,-58.4157773333333,149.057998657227,0.140599995851517,0.1309,0.1309,0,0.0118,0.0242,6e-4,0.0459,0.0028,0.0112,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436
6902742,61.7323493333333,-58.4157773333333,200.031005859375,0.0608000010251999,0.0124,0.0124,0,0.0014,9e-4,0,0.0064,4e-4,0,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436
6902742,61.7323493333333,-58.4157773333333,249.020004272461,0.00760000012814999,0.0043,0.0043,0,0,0,0,0.0021,0,0,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436
6902742,61.7323493333333,-58.4157773333333,499.851989746094,0.00380000006407499,0.003,0.003,0,0,0,0,0.0017,0,0,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436
6902743,61.5669358333333,-58.4537678333333,10.9219999313354,0.399599999189377,0.2183,0.2243,0.0039,0.0141,0.0552,0.0012,0.0701,0.0045,0.0119,2016-10-21T00:00:00Z,0,lovapm004a,6487.167591995429
6902743,61.5669358333333,-58.4537678333333,20.0960006713867,0.349200010299683,0.2204,0.2273,0.0043,0.014,0.0571,0.0012,0.0722,0.0044,0.0119,2016-10-21T00:00:00Z,0,lovapm004a,6487.167591995429
6902743,61.5669358333333,-58.4537678333333,29.9549999237061,0.349200010299683,0.2129,0.2199,0.0047,0.0142,0.0534,9e-4,0.0702,0.0044,0.0103,2016-10-21T00:00:00Z,0,lovapm004a,6487.167591995429
6902743,61.5669358333333,-58.4537678333333,74.9800033569336,0.334800004959106,0.2292,0.2362,0.0041,0.0153,0.0573,0.001,0.0771,0.0044,0.0127,2016-10-21T00:00:00Z,0,lovapm004a,6487.167591995429
6902743,61.5669358333333,-58.4537678333333,101.952003479004,0.421200007200241,0.2404,0.2404,0.0039,0.0178,0.0573,9e-4,0.0847,0.0046,0.0136,2016-10-21T00:00:00Z,0,lovapm004a,6487.167591995429
6902743,61.5669358333333,-58.4537678333333,125.976997375488,0.20160000026226,0.234,0.234,0.0025,0.0182,0.0499,9e-4,0.0819,0.0047,0.0148,2016-10-21T00:00:00Z,0,lovapm004a,6487.167591995429
6902743,61.5669358333333,-58.4537678333333,149.095993041992,0.151199996471405,0.1309,0.1309,0,0.0118,0.0242,6e-4,0.0459,0.0028,0.0112,2016-10-21T00:00:00Z,0,lovapm004a,6487.167591995429
6902743,61.5669358333333,-58.4537678333333,200.102996826172,0.0432000011205673,0.0124,0.0124,0,0.0014,9e-4,0,0.0064,4e-4,0,2016-10-21T00:00:00Z,0,lovapm004a,6487.167591995429
6902743,61.5669358333333,-58.4537678333333,249.011001586914,0.0252000000327826,0.0043,0.0043,0,0,0,0,0.0021,0,0,2016-10-21T00:00:00Z,0,lovapm004a,6487.167591995429
6901032,7.90396166666667,43.37941,5.21999979019165,0.638750016689301,0.9132,0.9485,0.0092,0.0771,0.2627,0.0683,0.0771,0.0497,0.0909,2012-11-25T00:00:00Z,-1,lovbio001i,1946.9652768954827
6901032,7.90396166666667,43.37941,9.5,0.638750016689301,0.9406,0.976,0.0096,0.0819,0.2718,0.0678,0.0831,0.0505,0.0965,2012-11-25T00:00:00Z,-1,lovbio001i,1946.9652768954827
6901032,7.90396166666667,43.37941,9.60000038146973,0.638750016689301,0.9406,0.976,0.0096,0.0819,0.2718,0.0678,0.0831,0.0505,0.0965,2012-11-25T00:00:00Z,-1,lovbio001i,1946.9652768954827
6901032,7.90396166666667,43.37941,9.80000019073486,0.638750016689301,0.9406,0.976,0.0096,0.0819,0.2718,0.0678,0.0831,0.0505,0.0965,2012-11-25T00:00:00Z,-1,lovbio001i,1946.9652768954827
6901032,7.90396166666667,43.37941,10,0.638750016689301,0.9406,0.976,0.0096,0.0819,0.2718,0.0678,0.0831,0.0505,0.0965,2012-11-25T00:00:00Z,-1,lovbio001i,1946.9652768954827
6901032,7.90396166666667,43.37941,19.9200000762939,0.678900003433228,0.7846,0.8437,0.0093,0.0799,0.2137,0.0545,0.098,0.0338,0.1031,2012-11-25T00:00:00Z,-1,lovbio001i,1946.9652768954827
6901032,7.90396166666667,43.37941,30.2000007629395,0.667949974536896,0.5127,0.5515,0.0079,0.0579,0.1166,0.0297,0.0868,0.0176,0.0812,2012-11-25T00:00:00Z,-1,lovbio001i,1946.9652768954827
6901032,7.90396166666667,43.37941,38.7200012207031,0.400445550680161,0.422,0.4533,0.0073,0.0455,0.0945,0.0241,0.0706,0.0167,0.0606,2012-11-25T00:00:00Z,-1,lovbio001i,1946.9652768954827
6901032,7.90396166666667,43.37941,59.6199989318848,0.189394444227219,0.2351,0.2571,0.0043,0.029,0.0507,0.0123,0.0473,0.008,0.0332,2012-11-25T00:00:00Z,-1,lovbio001i,1946.9652768954827
6901032,7.90396166666667,43.37941,69.5199966430664,0.134976997971535,0.1682,0.2047,0.0038,0.0295,0.042,0.0124,0.0235,0.0063,0.0277,2012-11-25T00:00:00Z,-1,lovbio001i,1946.9652768954827
6901032,7.90396166666667,43.37941,80.120002746582,0.124166361987591,0.1052,0.1329,0.0019,0.0244,0.0257,0.0065,0.0143,0.0042,0.0203,2012-11-25T00:00:00Z,-1,lovbio001i,1946.9652768954827
6901032,7.90396166666667,43.37941,149.820007324219,0.0251850001513958,0.0404,0.0404,-1,0.0102,0.0067,5e-4,0.0072,0.0022,0.0044,2012-11-25T00:00:00Z,-1,lovbio001i,1946.9652768954827
6901032,7.90396166666667,43.37941,199.919998168945,0.00365000008605421,0.0077,0.0077,-1,0.0015,0.001,2e-4,0.0016,6e-4,6e-4,2012-11-25T00:00:00Z,-1,lovbio001i,1946.9652768954827
6901521,-50.3322166666667,58.6959733333333,23.5,0.572399973869324,0.721,0.7293,0.1117,0.0506,0.1239,0.0027,0.1234,0.0117,0.0822,2013-05-15T00:00:00Z,0,lovbio011b,7914.951661771979
6901521,-50.3322166666667,58.6959733333333,24.3400001525879,0.603720009326935,0.721,0.7293,0.1117,0.0506,0.1239,0.0027,0.1234,0.0117,0.0822,2013-05-15T00:00:00Z,0,lovbio011b,7914.951661771979
6901521,-50.3322166666667,58.6959733333333,50,0.705600023269653,0.7506,0.7573,0.1238,0.0515,0.1327,0.003,0.1242,0.0123,0.0839,2013-05-15T00:00:00Z,0,lovbio011b,7914.951661771979
6901521,-50.3322166666667,58.6959733333333,101.139999389648,0.135072007775307,0.3698,0.3698,0.0086,0.0202,0.0617,0.0021,0.0762,0.0067,0.0609,2013-05-15T00:00:00Z,0,lovbio011b,7914.951661771979
6901522,-51.4341366666667,57.78071,8.69999980926514,0.671599984169006,0.7549,0.7549,0.0695,0.05,0.1139,0.0029,0.201,0.0143,0.0735,2013-05-15T00:00:00Z,-1,lovbio012b,6210.796108360132
6901522,-51.4341366666667,57.78071,8.80000019073486,0.671599984169006,0.7549,0.7549,0.0695,0.05,0.1139,0.0029,0.201,0.0143,0.0735,2013-05-15T00:00:00Z,-1,lovbio012b,6210.796108360132
6901522,-51.4341366666667,57.78071,8.89999961853027,0.671599984169006,0.7549,0.7549,0.0695,0.05,0.1139,0.0029,0.201,0.0143,0.0735,2013-05-15T00:00:00Z,-1,lovbio012b,6210.796108360132
6901522,-51.4341366666667,57.78071,9.02000045776367,0.671599984169006,0.7549,0.7549,0.0695,0.05,0.1139,0.0029,0.201,0.0143,0.0735,2013-05-15T00:00:00Z,-1,lovbio012b,6210.796108360132
6901522,-51.4341366666667,57.78071,9.19999980926514,0.671599984169006,0.7549,0.7549,0.0695,0.05,0.1139,0.0029,0.201,0.0143,0.0735,2013-05-15T00:00:00Z,-1,lovbio012b,6210.796108360132
6901522,-51.4341366666667,57.78071,9.34000015258789,0.671599984169006,0.7549,0.7549,0.0695,0.05,0.1139,0.0029,0.201,0.0143,0.0735,2013-05-15T00:00:00Z,-1,lovbio012b,6210.796108360132
6901522,-51.4341366666667,57.78071,20.5200004577637,0.671599984169006,0.7727,0.7727,0.0673,0.0424,0.1027,0.0016,0.1802,0.0111,0.0765,2013-05-15T00:00:00Z,-1,lovbio012b,6210.796108360132
6901522,-51.4341366666667,57.78071,28.7999992370605,0.671599984169006,0.7865,0.7865,0.0606,0.0455,0.1084,0.003,0.2021,0.0124,0.0736,2013-05-15T00:00:00Z,-1,lovbio012b,6210.796108360132
6901522,-51.4341366666667,57.78071,39.3199996948242,0.671599984169006,0.7851,0.7851,0.053900000000000003,0.0468,0.1048,0.0035,0.2157,0.0125,0.073,2013-05-15T00:00:00Z,-1,lovbio012b,6210.796108360132
6901522,-51.4341366666667,57.78071,48.8199996948242,0.675323009490967,0.723,0.723,0.0462,0.0438,0.096,0.0032,0.2014,0.0124,0.0669,2013-05-15T00:00:00Z,-1,lovbio012b,6210.796108360132
6901522,-51.4341366666667,57.78071,59.6199989318848,0.51793497800827,0.6936,0.6936,0.0414,0.0385,0.0887,0.0027,0.1815,0.0099,0.0755,2013-05-15T00:00:00Z,-1,lovbio012b,6210.796108360132
6901522,-51.4341366666667,57.78071,78.7200012207031,0.380329996347427,0.6922,0.6922,0.037,0.043,0.0966,0.003,0.1974,0.011,0.0615,2013-05-15T00:00:00Z,-1,lovbio012b,6210.796108360132
6901522,-51.4341366666667,57.78071,101.220001220703,0.34256911277771,0.6731,0.6731,0.0365,0.0401,0.099,0.0038,0.1826,0.0109,0.0661,2013-05-15T00:00:00Z,-1,lovbio012b,6210.796108360132
6901522,-51.4341366666667,57.78071,123.720001220703,0.0905761569738388,0.5669,0.5669,0.0396,0.0279,0.0941,9e-4,0.1143,0.0065,0.0573,2013-05-15T00:00:00Z,-1,lovbio012b,6210.796108360132
6901522,-51.4341366666667,57.78071,150.020004272461,0.0464392304420471,0.4564,0.4564,0.0132,0.0341,0.085,0.0034,0.1006,0.0084,0.0457,2013-05-15T00:00:00Z,-1,lovbio012b,6210.796108360132
6901522,-51.4341366666667,57.78071,177.199996948242,0.0328500010073185,0.0913,0.0913,0,0.0056,0.017,7e-4,0.0193,0.0018,0.0152,2013-05-15T00:00:00Z,-1,lovbio012b,6210.796108360132
6901522,-51.4341366666667,57.78071,200.520004272461,0.0255500003695488,0.0359,0.0359,0,0.0027,0.0075,5e-4,0.0079,0.0013,0.006,2013-05-15T00:00:00Z,-1,lovbio012b,6210.796108360132
6901522,-51.4341366666667,57.78071,201.399993896484,0.0255500003695488,0.0359,0.0359,0,0.0027,0.0075,5e-4,0.0079,0.0013,0.006,2013-05-15T00:00:00Z,-1,lovbio012b,6210.796108360132
6901520,-20.6861633333333,62.7759683333333,9.61999988555908,0.317550003528595,0.0959,0.0959,0,0.0196,0.0499,0.0073,0.0157,0.04,0.0138,2013-04-18T00:00:00Z,-1,lovbio013b,6484.086618350418
6901520,-20.6861633333333,62.7759683333333,10.5,0.317550003528595,0.0959,0.0959,0,0.0196,0.0499,0.0073,0.0157,0.04,0.0138,2013-04-18T00:00:00Z,-1,lovbio013b,6484.086618350418
6901520,-20.6861633333333,62.7759683333333,30.1200008392334,0.317550003528595,0.1057,0.1057,0,0.0256,0.0701,0.0072,0.0191,0.0273,0.0187,2013-04-18T00:00:00Z,-1,lovbio013b,6484.086618350418
6901520,-20.6861633333333,62.7759683333333,69.7200012207031,0.262800008058548,0.06,0.06,0,0.0185,0.0389,0.004,0.0135,0.0128,0.0105,2013-04-18T00:00:00Z,-1,lovbio013b,6484.086618350418
6901520,-20.6861633333333,62.7759683333333,100.419998168945,0.171550005674362,0.0742,0.0742,0,0.0214,0.0439,0.0043,0.0141,0.0217,0.0117,2013-04-18T00:00:00Z,-1,lovbio013b,6484.086618350418
6901520,-20.6861633333333,62.7759683333333,120.319999694824,0.131400004029274,0.0121,0.0121,0,0.0043,0.0088,0.001,0.0033,0.0021,0.0022,2013-04-18T00:00:00Z,-1,lovbio013b,6484.086618350418
6901520,-20.6861633333333,62.7759683333333,149.820007324219,0.171483635902405,0.0532,0.0532,0,0.0124,0.0281,0.0034,0.0098,0.0165,0.0075,2013-04-18T00:00:00Z,-1,lovbio013b,6484.086618350418
6901520,-20.6861633333333,62.7759683333333,180.020004272461,0.207320004701614,0.02,0.02,0,0.0062,0.0126,0.001,0.0043,0.005,0.0031,2013-04-18T00:00:00Z,-1,lovbio013b,6484.086618350418
6901520,-20.6861633333333,62.7759683333333,200.220001220703,0.208116367459297,0.0317,0.0317,0,0.0097,0.0196,0.0014,0.0063,0.0082,0.0043,2013-04-18T00:00:00Z,-1,lovbio013b,6484.086618350418
6901520,-20.6861633333333,62.7759683333333,240.320007324219,0.164250001311302,0.0369,0.0369,0,0.0112,0.0236,0.0014,0.0077,0.0105,0.0046,2013-04-18T00:00:00Z,-1,lovbio013b,6484.086618350418
6901524,-50.35781,58.6771416666667,24.2199993133545,0.569399952888489,0.721,0.7293,0.1117,0.0506,0.1239,0.0027,0.1234,0.0117,0.0822,2013-05-15T00:00:00Z,0,lovbio014b,5348.50705902532
6901524,-50.35781,58.6771416666667,49.7200012207031,0.659108579158783,0.7506,0.7573,0.1238,0.0515,0.1327,0.003,0.1242,0.0123,0.0839,2013-05-15T00:00:00Z,0,lovbio014b,5348.50705902532
6901524,-50.35781,58.6771416666667,101.019996643066,0.446399986743927,0.3698,0.3698,0.0086,0.0202,0.0617,0.0021,0.0762,0.0067,0.0609,2013-05-15T00:00:00Z,0,lovbio014b,5348.50705902532
6901524,-50.35781,58.6771416666667,220.300003051758,0.0108000002801418,0.0191,0.0191,0,0.0015,0.0031,0.001,0.0046,0,0.0023,2013-05-15T00:00:00Z,0,lovbio014b,5348.50705902532
6901512,4.74298833333333,41.938735,53.7200012207031,0.342900931835175,0.5322,0.5322,0,0.0206,0.0713,0.0053,0.1664,0.0098,NA,2013-04-09T00:00:00Z,0,lovbio017b,8775.615974698263
6901512,4.74298833333333,41.938735,106.419998168945,0.31741726398468,0.4153,0.4153,0,0.0161,0.0517,0.004,0.1313,0.006,NA,2013-04-09T00:00:00Z,0,lovbio017b,8775.615974698263
6901512,4.74298833333333,41.938735,153.419998168945,0.108769997954369,0.0877,0.0877,0,0.0044,0.0101,0.0016,0.0285,0.0013,NA,2013-04-09T00:00:00Z,0,lovbio017b,8775.615974698263
6901512,4.74298833333333,41.938735,208.820007324219,0.0182499997317791,0.0243,0.0243,0,0.0012,0.0028,6e-4,0.0075,7e-4,NA,2013-04-09T00:00:00Z,0,lovbio017b,8775.615974698263
6901515,-20.7432536154154,62.7736499347364,9.60000038146973,0.25874999165535,0.0959,0.0959,0,0.0196,0.0499,0.0073,0.0157,0.04,0.0138,2013-04-18T00:00:00Z,-1,lovbio020b,8096.528127840863
6901515,-20.7432536154154,62.7736499347364,9.69999980926514,0.25874999165535,0.0959,0.0959,0,0.0196,0.0499,0.0073,0.0157,0.04,0.0138,2013-04-18T00:00:00Z,-1,lovbio020b,8096.528127840863
6901515,-20.7432536154154,62.7736499347364,9.80000019073486,0.25874999165535,0.0959,0.0959,0,0.0196,0.0499,0.0073,0.0157,0.04,0.0138,2013-04-18T00:00:00Z,-1,lovbio020b,8096.528127840863
6901515,-20.7432536154154,62.7736499347364,10,0.25874999165535,0.0959,0.0959,0,0.0196,0.0499,0.0073,0.0157,0.04,0.0138,2013-04-18T00:00:00Z,-1,lovbio020b,8096.528127840863
6901515,-20.7432536154154,62.7736499347364,29.8199996948242,0.25874999165535,0.1057,0.1057,0,0.0256,0.0701,0.0072,0.0191,0.0273,0.0187,2013-04-18T00:00:00Z,-1,lovbio020b,8096.528127840863
6901515,-20.7432536154154,62.7736499347364,69.7200012207031,0.194999992847443,0.06,0.06,0,0.0185,0.0389,0.004,0.0135,0.0128,0.0105,2013-04-18T00:00:00Z,-1,lovbio020b,8096.528127840863
6901515,-20.7432536154154,62.7736499347364,100.040000915527,0.157499998807907,0.0742,0.0742,0,0.0214,0.0439,0.0043,0.0141,0.0217,0.0117,2013-04-18T00:00:00Z,-1,lovbio020b,8096.528127840863
6901515,-20.7432536154154,62.7736499347364,119.940002441406,0.0973499938845634,0.0121,0.0121,0,0.0043,0.0088,0.001,0.0033,0.0021,0.0022,2013-04-18T00:00:00Z,-1,lovbio020b,8096.528127840863
6901515,-20.7432536154154,62.7736499347364,149.539993286133,0.109200000762939,0.0532,0.0532,0,0.0124,0.0281,0.0034,0.0098,0.0165,0.0075,2013-04-18T00:00:00Z,-1,lovbio020b,8096.528127840863
6901515,-20.7432536154154,62.7736499347364,180.139999389648,0.198750004172325,0.02,0.02,0,0.0062,0.0126,0.001,0.0043,0.005,0.0031,2013-04-18T00:00:00Z,-1,lovbio020b,8096.528127840863
6901515,-20.7432536154154,62.7736499347364,199.940002441406,0.205977275967598,0.0317,0.0317,0,0.0097,0.0196,0.0014,0.0063,0.0082,0.0043,2013-04-18T00:00:00Z,-1,lovbio020b,8096.528127840863
6901515,-20.7432536154154,62.7736499347364,240.139999389648,0.191249996423721,0.0369,0.0369,0,0.0112,0.0236,0.0014,0.0077,0.0105,0.0046,2013-04-18T00:00:00Z,-1,lovbio020b,8096.528127840863
6901526,-50.3579616666667,58.6709416666667,24.3199996948242,0.81360000371933,0.721,0.7293,0.1117,0.0506,0.1239,0.0027,0.1234,0.0117,0.0822,2013-05-16T00:00:00Z,-1,lovbio021c,4823.486954409617
6901526,-50.3579616666667,58.6709416666667,49.6199989318848,0.828720033168793,0.7506,0.7573,0.1238,0.0515,0.1327,0.003,0.1242,0.0123,0.0839,2013-05-16T00:00:00Z,-1,lovbio021c,4823.486954409617
6901526,-50.3579616666667,58.6709416666667,50.4199981689453,0.857360005378723,0.7506,0.7573,0.1238,0.0515,0.1327,0.003,0.1242,0.0123,0.0839,2013-05-16T00:00:00Z,-1,lovbio021c,4823.486954409617
6901526,-50.3579616666667,58.6709416666667,100.800003051758,0.558000028133392,0.3698,0.3698,0.0086,0.0202,0.0617,0.0021,0.0762,0.0067,0.0609,2013-05-16T00:00:00Z,-1,lovbio021c,4823.486954409617
6901526,-50.3579616666667,58.6709416666667,220.320007324219,0.0361799970269203,0.0191,0.0191,0,0.0015,0.0031,0.001,0.0046,0,0.0023,2013-05-16T00:00:00Z,-1,lovbio021c,4823.486954409617
6901516,-20.6829666666667,62.7703366666667,9.52000045776367,0.327600002288818,0.0959,0.0959,0,0.0196,0.0499,0.0073,0.0157,0.04,0.0138,2013-04-18T00:00:00Z,-1,lovbio022b,5855.836450635829
6901516,-20.6829666666667,62.7703366666667,9.69999980926514,0.327600002288818,0.0959,0.0959,0,0.0196,0.0499,0.0073,0.0157,0.04,0.0138,2013-04-18T00:00:00Z,-1,lovbio022b,5855.836450635829
6901516,-20.6829666666667,62.7703366666667,10.4200000762939,0.327600002288818,0.0959,0.0959,0,0.0196,0.0499,0.0073,0.0157,0.04,0.0138,2013-04-18T00:00:00Z,-1,lovbio022b,5855.836450635829
